"Periode ke-","Period","Inflasi (persen)"
"1","Januari 2003","8.68"
"2","Februari 2003","7.6"
"3","Maret 2003","7.17"
"4","April 2003","7.62"
"5","Mei 2003","7.15"
"6","Juni 2003","6.98"
"7","Juli 2003","6.27"
"8","Agustus 2003","6.51"
"9","September 2003","6.33"
"10","Oktober 2003","6.48"
"11","November 2003","5.53"
"12","Desember 2003","5.16"
"13","Januari 2004","4.82"
"14","Februari 2004","4.6"
"15","Maret 2004","5.11"
"16","April 2004","5.92"
"17","Mei 2004","6.47"
"18","Juni 2004","6.83"
"19","Juli 2004","7.2"
"20","Agustus 2004","6.67"
"21","September 2004","6.27"
"22","Oktober 2004","6.22"
"23","November 2004","6.18"
"24","Desember 2004","6.4"
"25","Januari 2005","7.32"
"26","Februari 2005","7.15"
"27","Maret 2005","8.81"
"28","April 2005","8.12"
"29","Mei 2005","7.4"
"30","Juni 2005","7.42"
"31","Juli 2005","7.84"
"32","Agustus 2005","8.33"
"33","September 2005","9.06"
"34","Oktober 2005","17.89"
"35","November 2005","18.38"
"36","Desember 2005","17.11"
"37","Januari 2006","17.03"
"38","Februari 2006","17.92"
"39","Maret 2006","15.74"
"40","April 2006","15.4"
"41","Mei 2006","15.6"
"42","Juni 2006","15.53"
"43","Juli 2006","15.15"
"44","Agustus 2006","14.9"
"45","September 2006","14.55"
"46","Oktober 2006","6.29"
"47","November 2006","5.27"
"48","Desember 2006","6.6"
"49","Januari 2007","6.26"
"50","Februari 2007","6.3"
"51","Maret 2007","6.52"
"52","April 2007","6.29"
"53","Mei 2007","6.01"
"54","Juni 2007","5.77"
"55","Juli 2007","6.06"
"56","Agustus 2007","6.51"
"57","September 2007","6.95"
"58","Oktober 2007","6.88"
"59","November 2007","6.71"
"60","Desember 2007","6.59"
"61","Januari 2008","7.36"
"62","Februari 2008","7.4"
"63","Maret 2008","8.17"
"64","April 2008","8.96"
"65","Mei 2008","10.38"
"66","Juni 2008","11.03"
"67","Juli 2008","11.9"
"68","Agustus 2008","11.85"
"69","September 2008","12.14"
"70","Oktober 2008","11.77"
"71","November 2008","11.68"
"72","Desember 2008","11.06"
"73","Januari 2009","9.17"
"74","Februari 2009","8.6"
"75","Maret 2009","7.92"
"76","April 2009","7.31"
"77","Mei 2009","6.04"
"78","Juni 2009","3.65"
"79","Juli 2009","2.71"
"80","Agustus 2009","2.75"
"81","September 2009","2.83"
"82","Oktober 2009","2.57"
"83","November 2009","2.41"
"84","Desember 2009","2.78"
"85","Januari 2010","3.72"
"86","Februari 2010","3.81"
"87","Maret 2010","3.43"
"88","April 2010","3.91"
"89","Mei 2010","4.16"
"90","Juni 2010","5.05"
"91","Juli 2010","6.22"
"92","Agustus 2010","6.44"
"93","September 2010","5.8"
"94","Oktober 2010","5.67"
"95","November 2010","6.33"
"96","Desember 2010","6.96"
"97","Januari 2011","7.02"
"98","Februari 2011","6.84"
"99","Maret 2011","6.65"
"100","April 2011","6.16"
"101","Mei 2011","5.98"
"102","Juni 2011","5.54"
"103","Juli 2011","4.61"
"104","Agustus 2011","4.79"
"105","September 2011","4.61"
"106","Oktober 2011","4.42"
"107","November 2011","4.15"
"108","Desember 2011","3.79"
"109","Januari 2012","3.65"
"110","Februari 2012","3.56"
"111","Maret 2012","3.97"
"112","April 2012","4.5"
"113","Mei 2012","4.45"
"114","Juni 2012","4.53"
"115","Juli 2012","4.56"
"116","Agustus 2012","4.58"
"117","September 2012","4.31"
"118","Oktober 2012","4.61"
"119","November 2012","4.32"
"120","Desember 2012","4.3"
"121","Januari 2013","4.57"
"122","Februari 2013","5.31"
"123","Maret 2013","5.9"
"124","April 2013","5.57"
"125","Mei 2013","5.47"
"126","Juni 2013","5.9"
"127","Juli 2013","8.61"
"128","Agustus 2013","8.79"
"129","September 2013","8.4"
"130","Oktober 2013","8.32"
"131","November 2013","8.37"
"132","Desember 2013","8.38"
"133","Januari 2014","8.22"
"134","Februari 2014","7.75"
"135","Maret 2014","7.32"
"136","April 2014","7.25"
"137","Mei 2014","7.32"
"138","Juni 2014","6.7"
"139","Juli 2014","4.53"
"140","Agustus 2014","3.99"
"141","September 2014","4.53"
"142","Oktober 2014","4.83"
"143","November 2014","6.23"
"144","Desember 2014","8.36"
"145","Januari 2015","6.96"
"146","Februari 2015","6.29"
"147","Maret 2015","6.38"
"148","April 2015","6.79"
"149","Mei 2015","7.15"
"150","Juni 2015","7.26"
"151","Juli 2015","7.26"
"152","Agustus 2015","7.18"
"153","September 2015","6.83"
"154","Oktober 2015","6.25"
"155","November 2015","4.89"
"156","Desember 2015","3.35"
"157","Januari 2016","4.14"
"158","Februari 2016","4.42"
"159","Maret 2016","4.45"
"160","April 2016","3.6"
"161","Mei 2016","3.33"
"162","Juni 2016","3.45"
"163","Juli 2016","3.21"
"164","Agustus 2016","2.79"
"165","September 2016","3.07"
"166","Oktober 2016","3.31"
"167","November 2016","3.58"
"168","Desember 2016","3.02"
"169","Januari 2017","3.49"
"170","Februari 2017","3.83"
"171","Maret 2017","3.61"
"172","April 2017","4.17"
"173","Mei 2017","4.33"
"174","Juni 2017","4.37"
"175","Juli 2017","3.88"
"176","Agustus 2017","3.82"
"177","September 2017","3.72"
"178","Oktober 2017","3.58"
"179","November 2017","3.3"
"180","Desember 2017","3.61"
"181","Januari 2018","3.25"
"182","Februari 2018","3.18"
"183","Maret 2018","3.4"
"184","April 2018","3.41"
"185","Mei 2018","3.23"
"186","Juni 2018","3.12"
"187","Juli 2018","3.18"
"188","Agustus 2018","3.2"
"189","September 2018","2.88"
"190","Oktober 2018","3.16"
"191","November 2018","3.23"
"192","Desember 2018","3.13"
"193","Januari 2019","2.82"
"194","Februari 2019","2.57"
"195","Maret 2019","2.48"
"196","April 2019","2.83"
"197","Mei 2019","3.32"
"198","Juni 2019","3.28"
"199","Juli 2019","3.32"
"200","Agustus 2019","3.49"
"201","September 2019","3.39"
"202","Oktober 2019","3.13"
"203","November 2019","3"
"204","Desember 2019","2.72"
"205","Januari 2020","2.68"
"206","Februari 2020","2.98"
"207","Maret 2020","2.96"
"208","April 2020","2.67"
"209","Mei 2020","2.19"
"210","Juni 2020","1.96"
"211","Juli 2020","1.54"
"212","Agustus 2020","1.32"
"213","September 2020","1.42"
"214","Oktober 2020","1.44"
"215","November 2020","1.59"
"216","Desember 2020","1.68"
"217","Januari 2021","1.55"
"218","Februari 2021","1.38"
"219","Maret 2021","1.37"
"220","April 2021","1.42"
"221","Mei 2021","1.68"
"222","Juni 2021","1.33"
"223","Juli 2021","1.52"
"224","Agustus 2021","1.59"
"225","September 2021","1.6"
"226","Oktober 2021","1.66"
"227","November 2021","1.75"
"228","Desember 2021","1.87"
"229","Januari 2022","2.18"
"230","Februari 2022","2.06"
"231","Maret 2022","2.64"
"232","April 2022","3.47"
"233","Mei 2022","3.55"
"234","Juni 2022","4.35"
"235","Juli 2022","4.94"
"236","Agustus 2022","4.69"
"237","September 2022","5.95"
"238","Oktober 2022","5.71"
"239","November 2022","5.42"
"240","Desember 2022","5.51"
"241","Januari 2023","5.28"
"242","Februari 2023","5.47"
"243","Maret 2023","4.97"
"244","April 2023","4.33"
"245","Mei 2023","4"
"246","Juni 2023","3.52"
"247","Juli 2023","3.08"
