"Periode ke-","date","value = indeks harga konsumen",""
"1","1947-01-01","21.48",""
"2","1947-02-01","21.62",""
"3","1947-03-01","22",""
"4","1947-04-01","22",""
"5","1947-05-01","21.95",""
"6","1947-06-01","22.08",""
"7","1947-07-01","22.23",""
"8","1947-08-01","22.4",""
"9","1947-09-01","22.84",""
"10","1947-10-01","22.91",""
"11","1947-11-01","23.06",""
"12","1947-12-01","23.41",""
"13","1948-01-01","23.68",""
"14","1948-02-01","23.67",""
"15","1948-03-01","23.5",""
"16","1948-04-01","23.82",""
"17","1948-05-01","24.01",""
"18","1948-06-01","24.15",""
"19","1948-07-01","24.4",""
"20","1948-08-01","24.43",""
"21","1948-09-01","24.36",""
"22","1948-10-01","24.31",""
"23","1948-11-01","24.16",""
"24","1948-12-01","24.05",""
"25","1949-01-01","24.01",""
"26","1949-02-01","23.91",""
"27","1949-03-01","23.91",""
"28","1949-04-01","23.92",""
"29","1949-05-01","23.91",""
"30","1949-06-01","23.92",""
"31","1949-07-01","23.7",""
"32","1949-08-01","23.7",""
"33","1949-09-01","23.75",""
"34","1949-10-01","23.67",""
"35","1949-11-01","23.7",""
"36","1949-12-01","23.61",""
"37","1950-01-01","23.51",""
"38","1950-02-01","23.61",""
"39","1950-03-01","23.64",""
"40","1950-04-01","23.65",""
"41","1950-05-01","23.77",""
"42","1950-06-01","23.88",""
"43","1950-07-01","24.07",""
"44","1950-08-01","24.2",""
"45","1950-09-01","24.34",""
"46","1950-10-01","24.5",""
"47","1950-11-01","24.6",""
"48","1950-12-01","24.98",""
"49","1951-01-01","25.38",""
"50","1951-02-01","25.83",""
"51","1951-03-01","25.88",""
"52","1951-04-01","25.92",""
"53","1951-05-01","25.99",""
"54","1951-06-01","25.93",""
"55","1951-07-01","25.91",""
"56","1951-08-01","25.86",""
"57","1951-09-01","26.03",""
"58","1951-10-01","26.16",""
"59","1951-11-01","26.32",""
"60","1951-12-01","26.47",""
"61","1952-01-01","26.45",""
"62","1952-02-01","26.41",""
"63","1952-03-01","26.39",""
"64","1952-04-01","26.46",""
"65","1952-05-01","26.47",""
"66","1952-06-01","26.53",""
"67","1952-07-01","26.68",""
"68","1952-08-01","26.69",""
"69","1952-09-01","26.63",""
"70","1952-10-01","26.69",""
"71","1952-11-01","26.69",""
"72","1952-12-01","26.71",""
"73","1953-01-01","26.64",""
"74","1953-02-01","26.59",""
"75","1953-03-01","26.63",""
"76","1953-04-01","26.69",""
"77","1953-05-01","26.7",""
"78","1953-06-01","26.77",""
"79","1953-07-01","26.79",""
"80","1953-08-01","26.85",""
